cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Canafístula,2018,8,2
Arapiraca,Canafístula,2018,10,1
Arapiraca,Canafístula,2018,12,1
Arapiraca,Canafístula,2019,2,1
Arapiraca,Canafístula,2019,5,1
Arapiraca,Canafístula,2020,3,1
Arapiraca,Canafístula,2020,12,1
Arapiraca,Canafístula,2021,2,1
Arapiraca,Canafístula,2021,4,1
Arapiraca,Canafístula,2021,8,3
Arapiraca,Canafístula,2021,9,1
Arapiraca,Canafístula,2021,12,1
Arapiraca,Canafístula,2022,4,1
Arapiraca,Canafístula,2022,6,1
Arapiraca,Canafístula,2023,3,1
Arapiraca,Canafístula,2023,4,1
Arapiraca,Canafístula,2023,5,1
Arapiraca,Canafístula,2023,8,1
Arapiraca,Canafístula,2024,1,2
Arapiraca,Canafístula,2024,2,1
Arapiraca,Canafístula,2024,11,1
Arapiraca,Canafístula,2024,12,1
Arapiraca,Canafístula,2025,8,3
Arapiraca,Canafístula,2025,11,1
Arapiraca,Canafístula,2026,3,1
Arapiraca,Capiatã,2012,1,1
Arapiraca,Capiatã,2015,2,1
Arapiraca,Capiatã,2016,10,1
Arapiraca,Capiatã,2016,12,1
Arapiraca,Capiatã,2017,10,1
Arapiraca,Capiatã,2018,4,1
Arapiraca,Capiatã,2023,10,1
Arapiraca,Capiatã,2023,12,1
Arapiraca,Capiatã,2026,1,1
Arapiraca,Cavaco,2012,8,1
Arapiraca,Cavaco,2012,9,1
Arapiraca,Cavaco,2013,2,2
Arapiraca,Cavaco,2013,3,1
Arapiraca,Cavaco,2013,6,1
Arapiraca,Cavaco,2013,9,1
Arapiraca,Cavaco,2014,7,2
Arapiraca,Cavaco,2014,11,1
Arapiraca,Cavaco,2016,2,1
Arapiraca,Cavaco,2017,3,1
Arapiraca,Cavaco,2018,3,1
Arapiraca,Cavaco,2019,1,1
Arapiraca,Cavaco,2019,10,1
Arapiraca,Cavaco,2024,5,1
Arapiraca,Cavaco,2025,5,1
Arapiraca,Centro,2012,3,2
Arapiraca,Centro,2012,8,1
Arapiraca,Centro,2012,10,1
Arapiraca,Centro,2013,2,1
Arapiraca,Centro,2013,8,1
Arapiraca,Centro,2013,9,1
Arapiraca,Centro,2013,11,2
Arapiraca,Centro,2013,12,2
Arapiraca,Centro,2014,1,1
Arapiraca,Centro,2014,3,1
Arapiraca,Centro,2014,4,1
Arapiraca,Centro,2014,5,1
Arapiraca,Centro,2014,6,1
Arapiraca,Centro,2014,7,1
Arapiraca,Centro,2014,10,1
Arapiraca,Centro,2014,12,1
Arapiraca,Centro,2015,3,1
Arapiraca,Centro,2015,8,1
Arapiraca,Centro,2015,9,1
Arapiraca,Centro,2015,10,1
Arapiraca,Centro,2016,2,1
Arapiraca,Centro,2016,5,1
Arapiraca,Centro,2016,7,1
Arapiraca,Centro,2017,1,1
Arapiraca,Centro,2017,12,1
Arapiraca,Centro,2019,1,1
Arapiraca,Centro,2019,3,1
Arapiraca,Centro,2019,11,1
Arapiraca,Centro,2019,12,1
Arapiraca,Centro,2020,2,1
Arapiraca,Centro,2020,12,4
Arapiraca,Centro,2021,10,1
Arapiraca,Centro,2021,11,1
Arapiraca,Centro,2022,1,2
Arapiraca,Centro,2023,2,1
Arapiraca,Centro,2023,6,1
Arapiraca,Centro,2023,12,1
Arapiraca,Centro,2024,1,1
Arapiraca,Centro,2024,5,1
Arapiraca,Centro,2024,9,1
Arapiraca,Centro,2024,11,1
Arapiraca,Centro,2025,4,1
Arapiraca,Centro,2025,8,1
Arapiraca,Centro,2025,9,1
Arapiraca,Eldorado,2012,3,1
Arapiraca,Eldorado,2012,5,1
Arapiraca,Eldorado,2012,11,1
Arapiraca,Eldorado,2014,7,1
Arapiraca,Eldorado,2014,11,1
Arapiraca,Eldorado,2016,6,1
Arapiraca,Eldorado,2019,8,1
Arapiraca,Eldorado,2019,10,1
Arapiraca,Eldorado,2021,3,1
Arapiraca,Guaribas,2012,1,1
Arapiraca,Guaribas,2012,5,1
Arapiraca,Guaribas,2013,4,2
Arapiraca,Guaribas,2015,1,1
Arapiraca,Guaribas,2016,4,1
Arapiraca,Guaribas,2016,5,1
Arapiraca,Guaribas,2017,3,1
Arapiraca,Guaribas,2021,12,1
Arapiraca,Guaribas,2023,11,1
Arapiraca,Itapoã,2013,6,1
Arapiraca,Itapoã,2013,12,1
Arapiraca,Itapoã,2014,4,1
Arapiraca,Itapoã,2014,9,1
Arapiraca,Itapoã,2015,5,1
Arapiraca,Itapoã,2015,11,1
Arapiraca,Itapoã,2016,3,2
Arapiraca,Itapoã,2016,9,1
Arapiraca,Itapoã,2017,2,1
Arapiraca,Itapoã,2018,1,1
Arapiraca,Itapoã,2018,4,1
Arapiraca,Itapoã,2018,5,1
Arapiraca,Itapoã,2019,6,1
Arapiraca,Itapoã,2020,11,1
Arapiraca,Itapoã,2020,12,1
Arapiraca,Itapoã,2021,1,1
Arapiraca,Itapoã,2022,3,1
Arapiraca,Itapoã,2024,4,1
Arapiraca,Jardim Esperança,2012,6,1
Arapiraca,Jardim Esperança,2012,9,1
Arapiraca,Jardim Esperança,2013,3,1
Arapiraca,Jardim Esperança,2013,4,1
Arapiraca,Jardim Esperança,2013,9,1
Arapiraca,Jardim Esperança,2013,10,1
Arapiraca,Jardim Esperança,2013,11,2
Arapiraca,Jardim Esperança,2014,2,1
Arapiraca,Jardim Esperança,2015,2,1
Arapiraca,Jardim Esperança,2016,1,1
Arapiraca,Jardim Esperança,2016,2,1
Arapiraca,Jardim Esperança,2016,5,1
Arapiraca,Jardim Esperança,2016,12,1
Arapiraca,Jardim Esperança,2017,10,1
Arapiraca,Jardim Esperança,2018,3,1
