cidade_norm,ano,semestre,count
Capela,2017,S1,7
Capela,2017,S2,3
Capela,2018,S1,3
Capela,2018,S2,1
Capela,2019,S1,5
Capela,2019,S2,3
Capela,2020,S1,4
Capela,2020,S2,4
Capela,2021,S2,3
Capela,2022,S1,1
Capela,2023,S1,1
Capela,2024,S1,1
Capela,2024,S2,1
Capela,2025,S1,1
Capela,2026,S1,1
Carneiros,2012,S2,1
Carneiros,2013,S1,2
Carneiros,2013,S2,1
Carneiros,2014,S2,1
Carneiros,2016,S1,2
Carneiros,2016,S2,1
Carneiros,2018,S1,1
Carneiros,2018,S2,1
Carneiros,2019,S1,4
Carneiros,2020,S1,1
Carneiros,2021,S1,1
Carneiros,2022,S1,1
Carneiros,2022,S2,1
Carneiros,2023,S2,1
Carneiros,2024,S2,3
Carneiros,2025,S1,1
Carneiros,2025,S2,2
Carneiros,2026,S1,2
Chã Preta,2012,S1,2
Chã Preta,2013,S1,1
Chã Preta,2013,S2,1
Chã Preta,2014,S2,1
Chã Preta,2015,S1,1
Chã Preta,2015,S2,1
Chã Preta,2016,S1,3
Chã Preta,2016,S2,1
Chã Preta,2017,S1,2
Chã Preta,2017,S2,2
Chã Preta,2018,S2,1
Chã Preta,2019,S2,2
Chã Preta,2020,S1,2
Chã Preta,2021,S2,1
Chã Preta,2023,S1,1
Chã Preta,2023,S2,1
Coité do Nóia,2012,S1,2
Coité do Nóia,2012,S2,1
Coité do Nóia,2013,S1,4
Coité do Nóia,2013,S2,5
Coité do Nóia,2014,S2,1
Coité do Nóia,2015,S1,2
Coité do Nóia,2015,S2,2
Coité do Nóia,2016,S1,2
Coité do Nóia,2016,S2,3
Coité do Nóia,2017,S1,1
Coité do Nóia,2018,S1,3
Coité do Nóia,2018,S2,3
Coité do Nóia,2019,S1,1
Coité do Nóia,2019,S2,1
Coité do Nóia,2020,S2,4
Coité do Nóia,2021,S1,1
Coité do Nóia,2022,S2,3
Coité do Nóia,2023,S1,2
Coité do Nóia,2023,S2,1
Coité do Nóia,2024,S2,1
Coité do Nóia,2025,S1,1
Colônia Leopoldina,2012,S1,7
Colônia Leopoldina,2012,S2,4
Colônia Leopoldina,2013,S1,2
Colônia Leopoldina,2013,S2,4
Colônia Leopoldina,2014,S1,5
Colônia Leopoldina,2014,S2,8
Colônia Leopoldina,2015,S1,2
Colônia Leopoldina,2015,S2,7
Colônia Leopoldina,2016,S1,6
Colônia Leopoldina,2016,S2,9
Colônia Leopoldina,2017,S1,10
