cidade_norm,ano,count
Jaramataia,2023,2
Jaramataia,2024,1
Jaramataia,2025,1
Jequiá da Praia,2012,1
Jequiá da Praia,2014,8
Jequiá da Praia,2015,1
Jequiá da Praia,2016,6
Jequiá da Praia,2017,5
Jequiá da Praia,2018,3
Jequiá da Praia,2020,6
Jequiá da Praia,2021,1
Jequiá da Praia,2022,1
Jequiá da Praia,2025,2
Joaquim Gomes,2012,26
Joaquim Gomes,2013,28
Joaquim Gomes,2014,13
Joaquim Gomes,2015,22
Joaquim Gomes,2016,8
Joaquim Gomes,2017,16
Joaquim Gomes,2018,5
Joaquim Gomes,2019,7
Joaquim Gomes,2020,7
Joaquim Gomes,2021,10
Joaquim Gomes,2022,6
Joaquim Gomes,2023,5
Joaquim Gomes,2024,2
Joaquim Gomes,2025,7
Joaquim Gomes,2026,1
Jundiá,2012,4
Jundiá,2014,4
Jundiá,2015,5
Jundiá,2016,2
Jundiá,2017,5
Jundiá,2018,2
Jundiá,2020,3
Jundiá,2022,1
Jundiá,2023,1
Jundiá,2024,1
Jundiá,2026,1
Junqueiro,2012,5
Junqueiro,2013,14
Junqueiro,2014,16
Junqueiro,2015,9
Junqueiro,2016,12
Junqueiro,2017,8
Junqueiro,2018,5
Junqueiro,2019,6
Junqueiro,2020,13
Junqueiro,2021,6
Junqueiro,2022,5
Junqueiro,2023,2
Junqueiro,2024,3
Junqueiro,2025,1
Junqueiro,2026,4
Lagoa da Canoa,2012,12
Lagoa da Canoa,2013,8
Lagoa da Canoa,2014,15
Lagoa da Canoa,2015,8
Lagoa da Canoa,2016,7
Lagoa da Canoa,2017,16
Lagoa da Canoa,2018,7
Lagoa da Canoa,2019,7
Lagoa da Canoa,2020,7
Lagoa da Canoa,2021,9
Lagoa da Canoa,2022,8
Lagoa da Canoa,2023,4
Lagoa da Canoa,2024,9
Lagoa da Canoa,2025,9
Lagoa da Canoa,2026,2
Limoeiro de Anadia,2012,3
Limoeiro de Anadia,2013,15
Limoeiro de Anadia,2014,8
Limoeiro de Anadia,2015,8
Limoeiro de Anadia,2016,14
Limoeiro de Anadia,2017,4
Limoeiro de Anadia,2018,9
Limoeiro de Anadia,2019,2
Limoeiro de Anadia,2020,4
Limoeiro de Anadia,2021,9
Limoeiro de Anadia,2023,2
Limoeiro de Anadia,2024,4
Limoeiro de Anadia,2025,1
Limoeiro de Anadia,2026,2
Maceió,2012,774
Maceió,2013,795
Maceió,2014,684
Maceió,2015,513
Maceió,2016,455
Maceió,2017,589
Maceió,2018,453
Maceió,2019,291
Maceió,2020,367
Maceió,2021,306
Maceió,2022,366
Maceió,2023,397
Maceió,2024,345
Maceió,2025,353
Maceió,2026,101
Major Isidoro,2012,10
Major Isidoro,2013,10
Major Isidoro,2014,12
Major Isidoro,2015,12
Major Isidoro,2016,6
Major Isidoro,2017,6
Major Isidoro,2018,5
Major Isidoro,2019,4
Major Isidoro,2020,7
Major Isidoro,2021,6
Major Isidoro,2022,5
Major Isidoro,2023,5
Major Isidoro,2024,4
