cidade_norm,ano,mes,count,ano_mes
Batalha,2015,5,1,2015-05-01
Batalha,2015,12,1,2015-12-01
Batalha,2016,3,1,2016-03-01
Batalha,2016,4,1,2016-04-01
Batalha,2016,5,1,2016-05-01
Batalha,2016,7,1,2016-07-01
Batalha,2016,9,1,2016-09-01
Batalha,2016,10,1,2016-10-01
Batalha,2016,12,3,2016-12-01
Batalha,2017,7,1,2017-07-01
Batalha,2017,10,1,2017-10-01
Batalha,2017,11,4,2017-11-01
Batalha,2017,12,1,2017-12-01
Batalha,2018,5,1,2018-05-01
Batalha,2018,9,1,2018-09-01
Batalha,2018,12,2,2018-12-01
Batalha,2019,4,1,2019-04-01
Batalha,2019,5,1,2019-05-01
Batalha,2019,7,1,2019-07-01
Batalha,2019,8,1,2019-08-01
Batalha,2019,10,1,2019-10-01
Batalha,2019,11,1,2019-11-01
Batalha,2020,1,1,2020-01-01
Batalha,2020,5,2,2020-05-01
Batalha,2020,6,3,2020-06-01
Batalha,2020,10,2,2020-10-01
Batalha,2020,11,1,2020-11-01
Batalha,2021,2,1,2021-02-01
Batalha,2021,4,1,2021-04-01
Batalha,2021,5,1,2021-05-01
Batalha,2021,6,2,2021-06-01
Batalha,2023,1,2,2023-01-01
Batalha,2023,2,1,2023-02-01
Batalha,2023,7,1,2023-07-01
Batalha,2023,11,1,2023-11-01
Batalha,2023,12,1,2023-12-01
Batalha,2024,2,2,2024-02-01
Batalha,2024,3,1,2024-03-01
Batalha,2024,4,1,2024-04-01
Batalha,2024,9,3,2024-09-01
Batalha,2024,10,1,2024-10-01
Batalha,2024,12,2,2024-12-01
Batalha,2025,3,2,2025-03-01
Batalha,2025,9,1,2025-09-01
Belo Monte,2013,11,2,2013-11-01
Belo Monte,2013,12,1,2013-12-01
Belo Monte,2014,2,1,2014-02-01
Belo Monte,2020,2,1,2020-02-01
Belo Monte,2022,12,1,2022-12-01
Belo Monte,2024,10,1,2024-10-01
Belém,2012,12,1,2012-12-01
Belém,2013,7,1,2013-07-01
Belém,2013,10,1,2013-10-01
Belém,2014,2,1,2014-02-01
Belém,2016,5,1,2016-05-01
Belém,2017,1,2,2017-01-01
Belém,2017,11,1,2017-11-01
Belém,2017,12,1,2017-12-01
Belém,2018,1,1,2018-01-01
Belém,2018,4,1,2018-04-01
Belém,2020,12,1,2020-12-01
Belém,2021,1,1,2021-01-01
Belém,2021,7,1,2021-07-01
Belém,2021,11,1,2021-11-01
Belém,2022,11,1,2022-11-01
Belém,2023,7,1,2023-07-01
Belém,2023,11,1,2023-11-01
Belém,2024,3,1,2024-03-01
Belém,2024,9,2,2024-09-01
Belém,2025,9,2,2025-09-01
Boca da Mata,2012,1,2,2012-01-01
Boca da Mata,2012,2,2,2012-02-01
Boca da Mata,2012,3,2,2012-03-01
Boca da Mata,2012,7,1,2012-07-01
Boca da Mata,2012,8,2,2012-08-01
Boca da Mata,2012,11,3,2012-11-01
Boca da Mata,2012,12,1,2012-12-01
Boca da Mata,2013,1,1,2013-01-01
Boca da Mata,2013,2,1,2013-02-01
Boca da Mata,2013,3,2,2013-03-01
Boca da Mata,2013,4,3,2013-04-01
Boca da Mata,2013,5,1,2013-05-01
Boca da Mata,2013,6,1,2013-06-01
Boca da Mata,2013,8,2,2013-08-01
Boca da Mata,2013,9,2,2013-09-01
Boca da Mata,2013,10,1,2013-10-01
Boca da Mata,2013,11,1,2013-11-01
Boca da Mata,2013,12,3,2013-12-01
Boca da Mata,2014,4,1,2014-04-01
Boca da Mata,2014,5,3,2014-05-01
Boca da Mata,2014,6,1,2014-06-01
Boca da Mata,2014,7,1,2014-07-01
Boca da Mata,2014,9,3,2014-09-01
Boca da Mata,2014,10,1,2014-10-01
Boca da Mata,2014,11,1,2014-11-01
Boca da Mata,2014,12,1,2014-12-01
Boca da Mata,2015,1,2,2015-01-01
Boca da Mata,2015,2,2,2015-02-01
